Time,Hour_of_Day,Ti_current,Q_heater_prev,T_ambient,Q_internal,Ti_next
0,0,293.15,3000,283.15,100,293.360835681097
60,0.0166666666666667,293.360835681097,3000,283.171802565197,100.857142857143,293.571671362194
120,0.0333333333333333,293.571671362194,3000,283.193605130395,101.714285714286,293.782507043291
180,0.05,293.782507043291,3000,283.215407695592,102.571428571429,293.993342724389
240,0.0666666666666667,293.993342724389,3000,283.237210260789,103.428571428571,294.204178405486
300,0.0833333333333333,294.204178405486,3000,283.259012825987,104.285714285714,294.415014086583
360,0.1,294.415014086583,3000,283.280815391184,105.142857142857,294.62584976768
420,0.116666666666667,294.62584976768,3000,283.302617956381,106,294.836685448777
480,0.133333333333333,294.836685448777,3000,283.324420521579,106.857142857143,295.047521129874
540,0.15,295.047521129874,3000,283.346223086776,107.714285714286,295.258356810971
600,0.166666666666667,295.258356810971,3000,283.368025651974,108.571428571429,295.469192492068
660,0.183333333333333,295.469192492068,3000,283.389828217171,109.428571428571,295.680028173166
720,0.2,295.680028173166,3000,283.411630782368,110.285714285714,295.890863854263
780,0.216666666666667,295.890863854263,3000,283.433433347566,111.142857142857,296.10169953536
840,0.233333333333333,296.10169953536,3000,283.455235912763,112,295.961339169966
900,0.25,295.961339169966,0,283.476994688014,112.857142857143,295.716614146899
960,0.266666666666667,295.716614146899,0,283.498740450241,113.714285714286,295.471889123832
1020,0.283333333333333,295.471889123832,0,283.520486212468,114.571428571429,295.227164100765
1080,0.3,295.227164100765,0,283.542231974695,115.428571428571,294.982439077698
1140,0.316666666666667,294.982439077698,0,283.563977736922,116.285714285714,294.737714054631
1200,0.333333333333333,294.737714054631,0,283.585723499149,117.142857142857,294.492989031564
1260,0.35,294.492989031564,0,283.607469261376,118,294.248264008498
1320,0.366666666666667,294.248264008498,0,283.629215023603,118.857142857143,294.277143246672
1380,0.383333333333333,294.277143246672,3000,283.650911055513,119.714285714286,294.489589774275
1440,0.4,294.489589774275,3000,283.67257372223,120.571428571429,294.702036301878
1500,0.416666666666667,294.702036301878,3000,283.694236388947,121.428571428571,294.914482829482
1560,0.433333333333333,294.914482829482,3000,283.715899055664,122.285714285714,295.126929357085
1620,0.45,295.126929357085,3000,283.73756172238,123.142857142857,295.339375884689
1680,0.466666666666667,295.339375884689,3000,283.759224389097,124,295.551822412292
1740,0.483333333333333,295.551822412292,3000,283.780887055814,124.857142857143,295.764268939895
1800,0.5,295.764268939895,3000,283.802549722531,125.714285714286,295.976715467499
1860,0.516666666666667,295.976715467499,3000,283.824212389248,126.571428571429,296.107255268357
1920,0.533333333333333,296.107255268357,0,283.845853311691,127.428571428571,295.875373062481
1980,0.55,295.875373062481,0,283.867398019774,128.285714285714,295.643490856605
2040,0.566666666666667,295.643490856605,0,283.888942727857,129.142857142857,295.411608650728
2100,0.583333333333333,295.411608650728,0,283.910487435941,130,295.179726444852
2160,0.6,295.179726444852,0,283.932032144024,130.857142857143,294.947844238976
2220,0.616666666666667,294.947844238976,0,283.953576852107,131.714285714286,294.715962033099
2280,0.633333333333333,294.715962033099,0,283.97512156019,132.571428571429,294.484079827223
2340,0.65,294.484079827223,0,283.996666268274,133.428571428571,294.252197621347
2400,0.666666666666667,294.252197621347,0,284.018210976357,134.285714285714,294.274630104918
2460,0.683333333333333,294.274630104918,3000,284.039675250742,135.142857142857,294.497474660821
2520,0.7,294.497474660821,3000,284.061076139546,136,294.720319216724
2580,0.716666666666667,294.720319216724,3000,284.082477028351,136.857142857143,294.943163772628
2640,0.733333333333333,294.943163772628,3000,284.103877917155,137.714285714286,295.166008328531
2700,0.75,295.166008328531,3000,284.125278805959,138.571428571429,295.388852884434
2760,0.766666666666667,295.388852884434,3000,284.146679694764,139.428571428571,295.611697440337
2820,0.783333333333333,295.611697440337,3000,284.168080583568,140.285714285714,295.83454199624
2880,0.8,295.83454199624,3000,284.189481472372,141.142857142857,296.057386552143
2940,0.816666666666667,296.057386552143,3000,284.210882361177,142,296.027500122548
3000,0.833333333333333,296.027500122548,0,284.23214752561,142.857142857143,295.80539191312
3060,0.85,295.80539191312,0,284.253365591528,143.714285714286,295.583283703691
3120,0.866666666666667,295.583283703691,0,284.274583657446,144.571428571429,295.361175494263
3180,0.883333333333333,295.361175494263,0,284.295801723363,145.428571428571,295.139067284834
3240,0.9,295.139067284834,0,284.317019789281,146.285714285714,294.916959075406
3300,0.916666666666667,294.916959075406,0,284.338237855198,147.142857142857,294.694850865977
3360,0.933333333333333,294.694850865977,0,284.359455921116,148,294.472742656549
3420,0.95,294.472742656549,0,284.380673987034,148.857142857143,294.25063444712
3480,0.966666666666667,294.25063444712,0,284.401892052951,149.714285714286,294.266421825324
3540,0.983333333333333,294.266421825324,3000,284.422955793965,150.571428571429,294.499292252508
3600,1,294.499292252508,3000,284.443957608186,151.428571428571,294.732162679692
3660,1.01666666666667,294.732162679692,3000,284.464959422408,152.285714285714,294.965033106876
3720,1.03333333333333,294.965033106876,3000,284.48596123663,153.142857142857,295.19790353406
3780,1.05,295.19790353406,3000,284.506963050852,154,295.430773961244
3840,1.06666666666667,295.430773961244,3000,284.527964865073,154.857142857143,295.663644388429
3900,1.08333333333333,295.663644388429,3000,284.548966679295,155.714285714286,295.896514815613
3960,1.1,295.896514815613,3000,284.569968493517,156.571428571429,296.129385242797
4020,1.11666666666667,296.129385242797,3000,284.590970307739,157.428571428571,295.956250881683
4080,1.13333333333333,295.956250881683,0,284.611756671051,158.285714285714,295.743684404881
4140,1.15,295.743684404881,0,284.632522109278,159.142857142857,295.531117928079
4200,1.16666666666667,295.531117928079,0,284.653287547505,160,295.318551451277
4260,1.18333333333333,295.318551451277,0,284.674052985732,160.857142857143,295.105984974476
4320,1.2,295.105984974476,0,284.694818423958,161.714285714286,294.893418497674
4380,1.21666666666667,294.893418497674,0,284.715583862185,162.571428571429,294.680852020872
4440,1.23333333333333,294.680852020872,0,284.736349300412,163.428571428571,294.46828554407
4500,1.25,294.46828554407,0,284.757114738639,164.285714285714,294.263662926373
4560,1.26666666666667,294.263662926373,0,284.777834247258,165.142857142857,294.246285651246
4620,1.28333333333333,294.246285651246,3000,284.798399571309,166,294.489847313608
4680,1.3,294.489847313608,3000,284.818876301043,166.857142857143,294.733408975971
4740,1.31666666666667,294.733408975971,3000,284.839353030777,167.714285714286,294.976970638333
4800,1.33333333333333,294.976970638333,3000,284.859829760511,168.571428571429,295.220532300695
4860,1.35,295.220532300695,3000,284.880306490244,169.428571428571,295.464093963057
4920,1.36666666666667,295.464093963057,3000,284.900783219978,170.285714285714,295.707655625419
4980,1.38333333333333,295.707655625419,3000,284.921259949712,171.142857142857,295.951217287781
5040,1.4,295.951217287781,3000,284.941736679445,172,296.112493124424
5100,1.41666666666667,296.112493124424,0,284.962161456336,172.857142857143,295.908485729522
5160,1.43333333333333,295.908485729522,0,284.982355604171,173.714285714286,295.704478334619
5220,1.45,295.704478334619,0,285.002549752005,174.571428571429,295.500470939716
5280,1.46666666666667,295.500470939716,0,285.022743899839,175.428571428571,295.296463544814
5340,1.48333333333333,295.296463544814,0,285.042938047674,176.285714285714,295.092456149911
5400,1.5,295.092456149911,0,285.063132195508,177.142857142857,294.888448755008
5460,1.51666666666667,294.888448755008,0,285.083326343342,178,294.684441360106
5520,1.53333333333333,294.684441360106,0,285.103520491177,178.857142857143,294.480433965203
5580,1.55,294.480433965203,0,285.123714639011,179.714285714286,294.30052974816
5640,1.56666666666667,294.30052974816,0,285.143728238699,180.571428571429,294.190676648056
5700,1.58333333333333,294.190676648056,3000,285.163706597533,181.428571428571,294.444775914178
5760,1.6,294.444775914178,3000,285.183526964368,182.285714285714,294.698875180301
5820,1.61666666666667,294.698875180301,3000,285.203347331204,183.142857142857,294.952974446423
5880,1.63333333333333,294.952974446423,3000,285.22316769804,184,295.207073712546
5940,1.65,295.207073712546,3000,285.242988064876,184.857142857143,295.461172978668
6000,1.66666666666667,295.461172978668,3000,285.262808431711,185.714285714286,295.715272244791
6060,1.68333333333333,295.715272244791,3000,285.282628798547,186.571428571429,295.969371510913
6120,1.7,295.969371510913,3000,285.302449165383,187.428571428571,296.093702821541
6180,1.71666666666667,296.093702821541,0,285.322173914436,188.285714285714,295.898998582544
6240,1.73333333333333,295.898998582544,0,285.341663586414,189.142857142857,295.704294343546
6300,1.75,295.704294343546,0,285.361153258391,190,295.509590104549
6360,1.76666666666667,295.509590104549,0,285.380642930368,190.857142857143,295.314885865551
6420,1.78333333333333,295.314885865551,0,285.400132602345,191.714285714286,295.120181626554
6480,1.8,295.120181626554,0,285.419622274323,192.571428571429,294.925477387557
6540,1.81666666666667,294.925477387557,0,285.4391119463,193.428571428571,294.730773148559
6600,1.83333333333333,294.730773148559,0,285.458601618277,194.285714285714,294.538976803635
6660,1.85,294.538976803635,0,285.478064247677,195.142857142857,294.369189323578
6720,1.86666666666667,294.369189323578,0,285.49732220097,196,294.199401843522
6780,1.88333333333333,294.199401843522,0,285.516580154263,196.857142857143,294.337520635959
6840,1.9,294.337520635959,3000,285.535677128161,197.714285714286,294.601992853366
6900,1.91666666666667,294.601992853366,3000,285.554708042028,198.571428571429,294.866465070772
6960,1.93333333333333,294.866465070772,3000,285.573738955894,199.428571428571,295.130937288179
7020,1.95,295.130937288179,3000,285.592769869761,200.285714285714,295.395409505585
7080,1.96666666666667,295.395409505585,3000,285.611800783628,201.142857142857,295.659881722992
7140,1.98333333333333,295.659881722992,3000,285.630831697495,202,295.924353940398
7200,2,295.924353940398,3000,285.649862611361,202.857142857143,296.122671726724
7260,2.01666666666667,296.122671726724,0,285.66883915102,203.714285714286,295.936519672544
7320,2.03333333333333,295.936519672544,0,285.687499683987,204.571428571429,295.750367618365
7380,2.05,295.750367618365,0,285.706160216954,205.428571428571,295.564215564185
7440,2.06666666666667,295.564215564185,0,285.72482074992,206.285714285714,295.378063510006
7500,2.08333333333333,295.378063510006,0,285.743481282887,207.142857142857,295.191911455827
7560,2.1,295.191911455827,0,285.762141815853,208,295.005759401647
7620,2.11666666666667,295.005759401647,0,285.78080234882,208.857142857143,294.819607347468
7680,2.13333333333333,294.819607347468,0,285.799462881786,209.714285714286,294.640376683597
7740,2.15,294.640376683597,0,285.818046380958,210.571428571429,294.479314266942
7800,2.16666666666667,294.479314266942,0,285.836427670897,211.428571428571,294.318251850287
7860,2.18333333333333,294.318251850287,0,285.854808960836,212.285714285714,294.157189433632
7920,2.2,294.157189433632,0,285.873190250775,213.142857142857,294.412402467338
7980,2.21666666666667,294.412402467338,3000,285.891304803079,214,294.687065209916
8040,2.23333333333333,294.687065209916,3000,285.909406892555,214.857142857143,294.961727952494
8100,2.25,294.961727952494,3000,285.927508982032,215.714285714286,295.236390695071
8160,2.26666666666667,295.236390695071,3000,285.945611071508,216.571428571429,295.511053437649
8220,2.28333333333333,295.511053437649,3000,285.963713160984,217.428571428571,295.785716180227
8280,2.3,295.785716180227,3000,285.98181525046,218.285714285714,296.060378922805
8340,2.31666666666667,296.060378922805,3000,285.999917339937,219.142857142857,296.030264070469
8400,2.33333333333333,296.030264070469,0,286.017748160824,220,295.852536536932
8460,2.35,295.852536536932,0,286.03544759842,220.857142857143,295.674809003395
8520,2.36666666666667,295.674809003395,0,286.053147036016,221.714285714286,295.497081469857
8580,2.38333333333333,295.497081469857,0,286.070846473611,222.571428571429,295.31935393632
8640,2.4,295.31935393632,0,286.088545911207,223.428571428571,295.141626402783
8700,2.41666666666667,295.141626402783,0,286.106245348802,224.285714285714,294.963898869246
8760,2.43333333333333,294.963898869246,0,286.123944786398,225.142857142857,294.788986822194
8820,2.45,294.788986822194,0,286.141606734718,226,294.636516175099
8880,2.46666666666667,294.636516175099,0,286.158969867246,226.857142857143,294.484045528003
8940,2.48333333333333,294.484045528003,0,286.176332999773,227.714285714286,294.331574880908
9000,2.5,294.331574880908,0,286.1936961323,228.571428571429,294.179104233813
9060,2.51666666666667,294.179104233813,0,286.211059264828,229.428571428571,294.380311076546
9120,2.53333333333333,294.380311076546,3000,286.228153907809,230.285714285714,294.664956450759
9180,2.55,294.664956450759,3000,286.245185209542,231.142857142857,294.949601824972
9240,2.56666666666667,294.949601824972,3000,286.262216511276,232,295.234247199186
9300,2.58333333333333,295.234247199186,3000,286.279247813009,232.857142857143,295.518892573399
9360,2.6,295.518892573399,3000,286.296279114743,233.714285714286,295.803537947612
9420,2.61666666666667,295.803537947612,3000,286.313310416476,234.571428571429,296.088183321825
9480,2.63333333333333,296.088183321825,3000,286.33034171821,235.428571428571,296.017405152904
9540,2.65,296.017405152904,0,286.347033185001,236.285714285714,295.848026116265
9600,2.66666666666667,295.848026116265,0,286.363630375482,237.142857142857,295.678647079626
9660,2.68333333333333,295.678647079626,0,286.380227565963,238,295.509268042988
9720,2.7,295.509268042988,0,286.396824756444,238.857142857143,295.339889006349
9780,2.71666666666667,295.339889006349,0,286.413421946925,239.714285714286,295.17050996971
9840,2.73333333333333,295.17050996971,0,286.430019137406,240.571428571429,295.001130933072
9900,2.75,295.001130933072,0,286.446616327887,241.428571428571,294.844485444077
9960,2.76666666666667,294.844485444077,0,286.463015891175,242.285714285714,294.700513961658
10020,2.78333333333333,294.700513961658,0,286.479218751359,243.142857142857,294.55654247924
10080,2.8,294.55654247924,0,286.495421611544,244,294.412570996822
10140,2.81666666666667,294.412570996822,0,286.511624471728,244.857142857143,294.268599514404
10200,2.83333333333333,294.268599514404,0,286.527827331913,245.714285714286,294.201879069053
10260,2.85,294.201879069053,3000,286.543960905508,246.571428571429,294.496263267934
10320,2.86666666666667,294.496263267934,3000,286.559770603721,247.428571428571,294.790647466814
10380,2.88333333333333,294.790647466814,3000,286.575580301934,248.285714285714,295.085031665695
10440,2.9,295.085031665695,3000,286.591390000148,249.142857142857,295.379415864575
10500,2.91666666666667,295.379415864575,3000,286.607199698361,250,295.673800063456
10560,2.93333333333333,295.673800063456,3000,286.623009396574,250.857142857143,295.968184262336
10620,2.95,295.968184262336,3000,286.638819094787,251.714285714286,296.088376175361
10680,2.96666666666667,296.088376175361,0,286.654452924452,252.571428571429,295.927220199237
10740,2.98333333333333,295.927220199237,0,286.669802698801,253.428571428571,295.766064223112
10800,3,295.766064223112,0,286.68515247315,254.285714285714,295.604908246988
10860,3.01666666666667,295.604908246988,0,286.700502247499,255.142857142857,295.443752270864
10920,3.03333333333333,295.443752270864,0,286.715852021848,256,295.282596294739
10980,3.05,295.282596294739,0,286.731201796198,256.857142857143,295.121440318615
11040,3.06666666666667,295.121440318615,0,286.746551570547,257.714285714286,294.969378191618
11100,3.08333333333333,294.969378191618,0,286.761737747481,258.571428571429,294.833759594706
11160,3.1,294.833759594706,0,286.776628106991,259.428571428571,294.698140997793
11220,3.11666666666667,294.698140997793,0,286.791518466501,260.285714285714,294.562522400881
11280,3.13333333333333,294.562522400881,0,286.806408826012,261.142857142857,294.426903803968
11340,3.15,294.426903803968,0,286.821299185522,262,294.291285207056
11400,3.16666666666667,294.291285207056,0,286.836189545033,262.857142857143,294.155666610143
11460,3.18333333333333,294.155666610143,0,286.851079904543,263.714285714286,294.441134973418
11520,3.2,294.441134973418,3000,286.865529901381,264.571428571429,294.744965007792
11580,3.21666666666667,294.744965007792,3000,286.879960696022,265.428571428571,295.048795042166
11640,3.23333333333333,295.048795042166,3000,286.894391490664,266.285714285714,295.352625076539
11700,3.25,295.352625076539,3000,286.908822285305,267.142857142857,295.656455110913
11760,3.26666666666667,295.656455110913,3000,286.923253079947,268,295.960285145287
11820,3.28333333333333,295.960285145287,3000,286.937683874589,268.857142857143,296.092490923321
11880,3.3,296.092490923321,0,286.951933428247,269.714285714286,295.939373828856
11940,3.31666666666667,295.939373828856,0,286.965881671363,270.571428571429,295.786256734391
12000,3.33333333333333,295.786256734391,0,286.979829914479,271.428571428571,295.633139639925
12060,3.35,295.633139639925,0,286.993778157595,272.285714285714,295.48002254546
12120,3.36666666666667,295.48002254546,0,287.007726400711,273.142857142857,295.326905450994
12180,3.38333333333333,295.326905450994,0,287.021674643826,274,295.173788356529
12240,3.4,295.173788356529,0,287.035622886942,274.857142857143,295.034898028995
12300,3.41666666666667,295.034898028995,0,287.049278609593,275.714285714286,294.906236225467
12360,3.43333333333333,294.906236225467,0,287.06272402075,276.571428571429,294.777574421939
12420,3.45,294.777574421939,0,287.076169431907,277.428571428571,294.648912618411
12480,3.46666666666667,294.648912618411,0,287.089614843065,278.285714285714,294.520250814883
12540,3.48333333333333,294.520250814883,0,287.103060254222,279.142857142857,294.391589011355
12600,3.5,294.391589011355,0,287.116505665379,280,294.262927207827
12660,3.51666666666667,294.262927207827,0,287.129951076536,280.857142857143,294.166596607396
12720,3.53333333333333,294.166596607396,3000,287.143162721268,281.714285714286,294.479518566007
12780,3.55,294.479518566007,3000,287.156050664946,282.571428571429,294.792440524618
12840,3.56666666666667,294.792440524618,3000,287.168938608624,283.428571428571,295.105362483229
12900,3.58333333333333,295.105362483229,3000,287.181826552302,284.285714285714,295.41828444184
